Orthogroup	schistosoma_mansoni	s.mekongi
OG0000131	Smp_342380.1	KAK4476229.1
OG0000131	Smp_155520.1, Smp_155520.2, Smp_336270.1	KAK4468902.1
OG0000132	Smp_028030.1	KAK4474101.1
OG0000133	Smp_072980.1	KAK4472626.1
OG0000134	Smp_032480.1	KAK4475011.1
OG0000135	Smp_046060.1, Smp_046060.2	KAK4474731.1
OG0000136	Smp_174310.1	KAK4476189.1
OG0000137	Smp_166350.1	KAK4473443.1, KAK4473442.1, KAK4473441.1
OG0000138	Smp_158600.1	KAK4468744.1
OG0000138	Smp_335620.1	KAK4473697.1
OG0000139	Smp_031040.1	KAK4475677.1
OG0000140	Smp_059210.1, Smp_059210.2	KAK4470680.1, KAK4470033.1
OG0000142	Smp_139680.1	KAK4475021.1
OG0000142	Smp_120070.1, Smp_203950.1	KAK4475019.1, KAK4475022.1
OG0000144	Smp_034190.1	KAK4469871.1
OG0000144	Smp_097660.1	KAK4473145.1
OG0000144	Smp_166400.1	KAK4469772.1
OG0000145	Smp_110280.1, Smp_110280.2	KAK4472181.1
OG0000146	Smp_016630.1	KAK4468443.1
OG0000146	Smp_246100.1	KAK4469748.1
OG0000146	Smp_020080.1	KAK4472748.1
OG0000146	Smp_016250.1	KAK4469097.1
OG0000147	Smp_019170.1	KAK4474043.1
OG0000148	Smp_346640.1	KAK4472662.1
OG0000149	Smp_123410.1	KAK4469180.1
OG0000151	Smp_167920.1	KAK4471438.1, KAK4471439.1
OG0000152	Smp_078310.1	KAK4474412.1
OG0000153	Smp_013950.1	KAK4469387.1
OG0000154	Smp_333260.1	KAK4475184.1, KAK4475186.1
OG0000155	Smp_302040.1, Smp_302040.2, Smp_302040.3	KAK4473822.1
OG0000156	Smp_143840.1	KAK4475038.1
OG0000156	Smp_039750.3, Smp_039750.1, Smp_039750.2	KAK4475039.1
OG0000157	Smp_212410.1, Smp_212410.2	KAK4471808.1
OG0000157	Smp_332710.1	KAK4472697.1
OG0000157	Smp_153100.1	KAK4467690.1
OG0000158	Smp_068960.1	KAK4475829.1, KAK4473934.1
OG0000158	Smp_159520.1	KAK4475828.1
OG0000159	Smp_129520.1	KAK4471746.1
OG0000160	Smp_136550.1	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1
OG0000161	Smp_301780.1	KAK4474169.1
OG0000164	Smp_179910.1	KAK4471960.1
OG0000164	Smp_062510.1	KAK4470406.1
OG0000164	Smp_142450.1	KAK4469800.1
OG0000164	Smp_071250.1	KAK4472495.1
OG0000165	Smp_002820.1	KAK4471264.1
OG0000167	Smp_042550.1, Smp_042550.2	KAK4470364.1
OG0000168	Smp_137740.1, Smp_137740.2, Smp_350170.1, Smp_142860.1, Smp_336380.1	KAK4467445.1
OG0000169	Smp_041460.1	KAK4467756.1
OG0000169	Smp_155310.1	KAK4472610.1
OG0000169	Smp_140000.1	KAK4467718.1, KAK4467716.1, KAK4467717.1
OG0000170	Smp_343440.1	KAK4470632.1
OG0000172	Smp_161110.1, Smp_161110.6, Smp_161110.5, Smp_161110.4, Smp_161110.2, Smp_161110.3	KAK4475142.1
OG0000173	Smp_344580.1	KAK4468268.1
OG0000175	Smp_195090.1	KAK4473136.1
OG0000175	Smp_169200.1	KAK4473125.1
OG0000175	Smp_169190.1	KAK4473114.1
OG0000175	Smp_086530.1	KAK4473106.1
OG0000177	Smp_333480.1, Smp_333480.2	KAK4472104.1
OG0000178	Smp_150750.1	KAK4472894.1
OG0000179	Smp_134080.1	KAK4469016.1
OG0000179	Smp_246010.1	KAK4469902.1
OG0000180	Smp_346170.1	KAK4468049.1
OG0000180	Smp_314210.1, Smp_345210.1	KAK4468060.1, KAK4468069.1
OG0000180	Smp_314200.1, Smp_317150.1	KAK4468040.1
OG0000182	Smp_159990.1	KAK4471145.1
OG0000182	Smp_020270.1, Smp_020270.2	KAK4472799.1
OG0000183	Smp_152870.1	KAK4472516.1
OG0000184	Smp_167750.1	KAK4469199.1
OG0000184	Smp_004220.1	KAK4469198.1
OG0000185	Smp_057120.1, Smp_057120.2	KAK4472507.1
OG0000186	Smp_334080.1	KAK4470241.1, KAK4470242.1
OG0000187	Smp_014670.1	KAK4469682.1
OG0000188	Smp_125770.1	KAK4472612.1
OG0000189	Smp_347670.1	KAK4476062.1
OG0000190	Smp_113610.1, Smp_344690.2, Smp_344690.4, Smp_344690.1, Smp_344690.3	KAK4469926.1
OG0000191	Smp_154670.1	KAK4473909.1
OG0000191	Smp_154680.1	KAK4473910.1
OG0000192	Smp_009990.1	KAK4471381.1
OG0000193	Smp_151750.1, Smp_211070.1	KAK4471157.1
OG0000194	Smp_145190.1, Smp_145190.2	KAK4470371.1
OG0000195	Smp_089930.1	KAK4469314.1
OG0000196	Smp_051090.1	KAK4468938.1
OG0000196	Smp_337400.1, Smp_337400.3	KAK4474524.1
OG0000196	Smp_335720.1	KAK4475932.1
OG0000197	Smp_020070.1	KAK4472750.1, KAK4472751.1
OG0000198	Smp_342030.1	KAK4473170.1
OG0000198	Smp_058690.1, Smp_058700.1	KAK4474280.1
OG0000199	Smp_033950.1	KAK4472571.1
OG0000201	Smp_158560.1, Smp_158560.2	KAK4473643.1
OG0000202	Smp_129710.1	KAK4469384.1
