Orthogroup	schistosoma_japonicum	trichobilharzia_regenti
OG0000057	EWB00_008005	TREG1_59320.1, TREG1_142620.1, TREG1_45550.1, TREG1_40710.1, TREG1_94400.1, TREG1_8970.1, TREG1_141350.1, TREG1_141350.2, TREG1_30560.1, TREG1_85340.1, TREG1_83390.1, TREG1_65130.1, TREG1_11820.1, TREG1_29000.1, TREG1_40350.1, TREG1_132830.1, TREG1_111550.1, TREG1_142630.1, TREG1_145280.1, TREG1_43520.1, TREG1_106100.1, TREG1_121450.1, TREG1_77510.1, TREG1_118740.1, TREG1_92450.1, TREG1_25940.1, TREG1_58160.1, TREG1_22740.1, TREG1_57210.1, TREG1_77710.1, TREG1_115510.1, TREG1_3200.1, TREG1_43460.1, TREG1_45660.1, TREG1_45680.1, TREG1_32070.1, TREG1_120500.1, TREG1_39320.1, TREG1_83580.1, TREG1_61160.1, TREG1_128790.1, TREG1_36360.1, TREG1_78490.1, TREG1_130560.1, TREG1_1100.1, TREG1_97600.1, TREG1_70910.1, TREG1_96110.1, TREG1_38080.1, TREG1_138400.1, TREG1_65800.1, TREG1_92220.1, TREG1_30360.1, TREG1_142550.1, TREG1_133840.1, TREG1_94360.1, TREG1_19730.1, TREG1_70560.1, TREG1_139390.1, TREG1_18950.1, TREG1_18950.2, TREG1_99600.1, TREG1_117500.1, TREG1_106120.1
OG0000058	EWB00_001871	TREG1_125580.1
OG0000058	EWB00_003488.1, EWB00_003488.2	TREG1_101190.1, TREG1_101210.1
OG0000058	EWB00_003491	TREG1_109360.1, TREG1_109360.2
OG0000060	EWB00_010498.1, EWB00_010498.2	TREG1_87890.1
OG0000061	EWB00_010632.4, EWB00_010632.1, EWB00_010632.3, EWB00_010632.2	TREG1_76900.1, TREG1_76910.1
OG0000063	EWB00_006170	TREG1_43920.1, TREG1_43920.2
OG0000064	EWB00_004838.3, EWB00_004838.2, EWB00_004838.1	TREG1_12920.10, TREG1_12920.3, TREG1_12920.2, TREG1_12920.4, TREG1_12920.1, TREG1_12920.11, TREG1_12920.5, TREG1_12920.12, TREG1_12920.13, TREG1_12920.14, TREG1_12920.16, TREG1_12920.15, TREG1_12920.17, TREG1_12920.6, TREG1_12920.9, TREG1_12920.7, TREG1_12920.8
OG0000065	EWB00_000537	TREG1_32260.1, TREG1_32260.2
OG0000065	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	TREG1_89560.1, TREG1_49450.3, TREG1_49450.1, TREG1_49450.2, TREG1_49450.4, TREG1_49450.5, TREG1_32280.1, TREG1_32290.1, TREG1_32270.1, TREG1_32270.2
