Orthogroup	schistosoma_japonicum	schistosoma_margrebowiei
OG0000065	EWB00_001523, EWB00_000538.1, EWB00_000538.2, EWB00_000540, EWB00_000536, EWB00_011071, EWB00_009716.1, EWB00_009716.2	SMRG1_23130.4, SMRG1_23130.2, SMRG1_23130.1, SMRG1_23130.3, SMRG1_23100.1, SMRG1_23100.2, SMRG1_23120.2, SMRG1_23120.5, SMRG1_23120.4, SMRG1_23120.1, SMRG1_23120.3
OG0000066	EWB00_005603.1, EWB00_005603.2, EWB00_005603.3	SMRG1_37230.2, SMRG1_37230.4, SMRG1_37230.3, SMRG1_37230.7, SMRG1_37230.5, SMRG1_37230.10
OG0000067	EWB00_009328.1, EWB00_009328.2, EWB00_009328.4, EWB00_009328.3	SMRG1_68130.15, SMRG1_68130.14, SMRG1_68130.7, SMRG1_68130.2, SMRG1_68130.12, SMRG1_68130.6, SMRG1_68130.1, SMRG1_68130.11, SMRG1_68130.3, SMRG1_68130.4, SMRG1_68130.8, SMRG1_68130.5, SMRG1_68130.10, SMRG1_68130.9, SMRG1_68130.13
OG0000068	EWB00_006485.1, EWB00_006485.2, EWB00_006485.3	SMRG1_54400.1
OG0000068	EWB00_000572	SMRG1_95970.1
OG0000068	EWB00_004327	SMRG1_36660.2, SMRG1_36660.3, SMRG1_36660.4, SMRG1_36660.1, SMRG1_36660.5
OG0000068	EWB00_000646.3, EWB00_000646.1, EWB00_000646.2	SMRG1_28800.2, SMRG1_28800.3, SMRG1_28820.1, SMRG1_28800.1
OG0000069	EWB00_002487	SMRG1_19970.2, SMRG1_19970.4, SMRG1_19970.6, SMRG1_19970.1, SMRG1_19970.3, SMRG1_19970.5, SMRG1_19970.7, SMRG1_19970.8
OG0000070	EWB00_001574.3, EWB00_001574.1, EWB00_001574.2	SMRG1_44020.6, SMRG1_44020.7, SMRG1_44020.1, SMRG1_44020.2, SMRG1_44020.11, SMRG1_44020.5, SMRG1_44020.10, SMRG1_44020.3, SMRG1_44020.4, SMRG1_44020.8, SMRG1_44020.12, SMRG1_44020.9
OG0000071	EWB00_001786	SMRG1_34220.1
OG0000072	EWB00_001684	SMRG1_90620.4, SMRG1_90620.7, SMRG1_90620.8, SMRG1_90620.1, SMRG1_90620.2, SMRG1_90620.3, SMRG1_90620.5, SMRG1_90620.6
OG0000073	EWB00_000436.1, EWB00_000439, EWB00_000436.3, EWB00_000436.5, EWB00_000436.4, EWB00_000436.2, EWB00_000437	SMRG1_56180.2, SMRG1_56180.1, SMRG1_56180.4, SMRG1_56180.3, SMRG1_56170.5, SMRG1_56170.6, SMRG1_56170.1, SMRG1_56170.4, SMRG1_56170.2, SMRG1_56170.3
OG0000074	EWB00_007721.1	SMRG1_200.1
OG0000074	EWB00_007512.1	SMRG1_89070.1
OG0000074	EWB00_004196.6	SMRG1_10950.2, SMRG1_10950.1
OG0000074	EWB00_008993	SMRG1_89160.1
OG0000075	EWB00_001749	SMRG1_33970.11, SMRG1_33970.15, SMRG1_33970.16, SMRG1_33970.4, SMRG1_33970.1, SMRG1_33970.10, SMRG1_33970.12, SMRG1_33970.2, SMRG1_33970.3, SMRG1_33970.5, SMRG1_33970.6, SMRG1_33970.7, SMRG1_33970.8, SMRG1_33970.9, SMRG1_33970.13, SMRG1_33970.14
OG0000076	EWB00_009041	SMRG1_3760.1, SMRG1_3760.2
OG0000077	EWB00_004677	SMRG1_10440.1
OG0000078	EWB00_006317.1, EWB00_006317.2, EWB00_006317.4, EWB00_006317.5, EWB00_006317.3	SMRG1_5310.17, SMRG1_5310.18, SMRG1_5310.5, SMRG1_5310.3, SMRG1_5310.6, SMRG1_5310.7, SMRG1_5310.9, SMRG1_5310.10, SMRG1_5310.2, SMRG1_5310.4, SMRG1_5310.1, SMRG1_5310.11, SMRG1_5310.12, SMRG1_5310.13, SMRG1_5310.14, SMRG1_5310.16, SMRG1_5310.8, SMRG1_5310.15
OG0000079	EWB00_002888.1, EWB00_002888.2, EWB00_002888.3	SMRG1_30760.3, SMRG1_30760.1, SMRG1_30760.4, SMRG1_30760.2
OG0000079	EWB00_006494.1, EWB00_006494.2	SMRG1_54470.2, SMRG1_54470.1, SMRG1_54470.3
