Orthogroup	fasciola_gigantica	schistosoma_japonicum
OG0000294	FGIG_03314	EWB00_009046
OG0000295	FGIG_04922	EWB00_005285, EWB00_005283, EWB00_005284
OG0000297	FGIG_05203	EWB00_002278.3, EWB00_002278.2, EWB00_002278.1, EWB00_002278.4
OG0000298	FGIG_10124	EWB00_001802, EWB00_001803
OG0000298	FGIG_05892	EWB00_000994
OG0000299	FGIG_06707	EWB00_007963.1, EWB00_007963.2
OG0000300	FGIG_06727	EWB00_009379, EWB00_009380
OG0000301	FGIG_07052	EWB00_004573.5, EWB00_004573.1, EWB00_004573.7, EWB00_004573.2, EWB00_004573.3, EWB00_004573.4, EWB00_004573.6, EWB00_004573.8
OG0000302	FGIG_07305	EWB00_011256
OG0000303	FGIG_11626, FGIG_07919	EWB00_004180
OG0000304	FGIG_09605	EWB00_009739.1, EWB00_009739.2
OG0000305	FGIG_09613, FGIG_09611, FGIG_12612	EWB00_007763
OG0000306	FGIG_11983, FGIG_10527	EWB00_002091.1, EWB00_002091.2
OG0000307	FGIG_12478	EWB00_005330, EWB00_008525, EWB00_011426
OG0000311	FGIG_01279	EWB00_001060
OG0000312	FGIG_09661, FGIG_01495, FGIG_09662	EWB00_005964.1, EWB00_005964.2, EWB00_005964.3
OG0000313	FGIG_03443	EWB00_004170.1, EWB00_004170.2
OG0000314	FGIG_03632	EWB00_007714.1, EWB00_007714.2
OG0000315	FGIG_03911	EWB00_002931
OG0000316	FGIG_04659, FGIG_09851	EWB00_005434.1, EWB00_005434.2, EWB00_005434.3
OG0000317	FGIG_05137	EWB00_005657.1, EWB00_005657.2
OG0000318	FGIG_05250	EWB00_008744
OG0000319	FGIG_06268, FGIG_06269	EWB00_007862
OG0000320	FGIG_02124	EWB00_002513
OG0000320	FGIG_00209	EWB00_006052
OG0000320	FGIG_08913	EWB00_003791.1, EWB00_003791.2
OG0000321	FGIG_00856, FGIG_00857	EWB00_001296.1, EWB00_001296.2
OG0000322	FGIG_01204	EWB00_003360
OG0000324	FGIG_04179	EWB00_002977
OG0000325	FGIG_04546	EWB00_003497.1, EWB00_003497.2, EWB00_003497.3
OG0000326	FGIG_04814	EWB00_003851.1, EWB00_003851.3, EWB00_003851.2
OG0000327	FGIG_06438, FGIG_08722, FGIG_11975, FGIG_09141	EWB00_000974, EWB00_000972, EWB00_000973
OG0000328	FGIG_09711	EWB00_003307.1, EWB00_003307.2, EWB00_003309, EWB00_003308
OG0000329	FGIG_11990	EWB00_000879, EWB00_009351.1, EWB00_009351.3, EWB00_009351.2, EWB00_009351.4, EWB00_009351.5, EWB00_009351.7, EWB00_009351.6
OG0000332	FGIG_00632	EWB00_004112, EWB00_004113
OG0000333	FGIG_01538	EWB00_008457
