Orthogroup	schistosoma_japonicum	s.mekongi
OG0000141	EWB00_007088, EWB00_002941, EWB00_002719, EWB00_002942, EWB00_003683, EWB00_002908, EWB00_010265	KAK4467352.1
OG0000143	EWB00_006280.1, EWB00_006280.2	KAK4471520.1, KAK4471522.1
OG0000144	EWB00_000741.1, EWB00_000741.2, EWB00_000741.3, EWB00_000741.4, EWB00_000741.5, EWB00_000741.6	KAK4469871.1
OG0000144	EWB00_001080	KAK4473145.1
OG0000144	EWB00_005163	KAK4469772.1
OG0000145	EWB00_002936	KAK4472181.1
OG0000146	EWB00_006706.5, EWB00_006706.4, EWB00_006706.1, EWB00_006706.2, EWB00_006706.3	KAK4468443.1
OG0000146	EWB00_005122	KAK4469748.1
OG0000146	EWB00_007935.1, EWB00_007935.2	KAK4472748.1
OG0000146	EWB00_006903	KAK4469097.1
OG0000147	EWB00_004283	KAK4474043.1
OG0000148	EWB00_007473	KAK4472662.1
OG0000149	EWB00_006487.1, EWB00_006487.2, EWB00_006487.3, EWB00_006487.4	KAK4469180.1
OG0000151	EWB00_008868	KAK4471438.1, KAK4471439.1
OG0000152	EWB00_011078.3, EWB00_011078.2, EWB00_011078.1, EWB00_011078.4, EWB00_011078.5	KAK4474412.1
OG0000153	EWB00_005352.1, EWB00_005352.2	KAK4469387.1
OG0000154	EWB00_005454.3, EWB00_005454.1	KAK4475184.1
OG0000154	EWB00_005454.2	KAK4475186.1
OG0000155	EWB00_005616	KAK4473822.1
OG0000156	EWB00_010322	KAK4475038.1
OG0000156	EWB00_010321	KAK4475039.1
OG0000157	EWB00_001166	KAK4471808.1
OG0000157	EWB00_005728	KAK4472697.1
OG0000157	EWB00_011201	KAK4467690.1
OG0000158	EWB00_006315	KAK4475829.1, KAK4473934.1
OG0000158	EWB00_006316	KAK4475828.1
OG0000159	EWB00_009175	KAK4471746.1
OG0000160	EWB00_009370.4, EWB00_009370.1, EWB00_009370.5, EWB00_009370.2, EWB00_009370.3	KAK4467469.1, KAK4467470.1, KAK4467273.1, KAK4474568.1, KAK4467471.1, KAK4469046.1
OG0000161	EWB00_003371.1, EWB00_003371.2	KAK4474169.1
OG0000164	EWB00_011122.1, EWB00_011122.2	KAK4471960.1
OG0000164	EWB00_002005.1, EWB00_002005.2, EWB00_002005.3, EWB00_002005.4	KAK4470406.1
OG0000164	EWB00_003801.1, EWB00_003801.2	KAK4469800.1
OG0000164	EWB00_005981.1, EWB00_005981.2, EWB00_005981.3, EWB00_005981.5, EWB00_005981.4	KAK4472495.1
OG0000165	EWB00_010478	KAK4471264.1
OG0000167	EWB00_001382.4, EWB00_001382.1, EWB00_001382.2, EWB00_001382.3, EWB00_001382.5, EWB00_001382.6	KAK4470364.1
OG0000168	EWB00_009789, EWB00_009892, EWB00_003828, EWB00_008795	KAK4467445.1
OG0000169	EWB00_000574	KAK4467756.1
OG0000169	EWB00_004911.1, EWB00_004911.2	KAK4472610.1
OG0000169	EWB00_009686	KAK4467718.1, KAK4467716.1, KAK4467717.1
OG0000170	EWB00_000962	KAK4470632.1
OG0000172	EWB00_001058.1, EWB00_001058.2	KAK4475142.1
OG0000173	EWB00_008475	KAK4468268.1
OG0000175	EWB00_007666	KAK4473136.1
OG0000175	EWB00_007667	KAK4473125.1
OG0000175	EWB00_007668	KAK4473114.1
OG0000175	EWB00_007669	KAK4473106.1
OG0000176	EWB00_001540, EWB00_004362, EWB00_005462, EWB00_010563, EWB00_003767, EWB00_010852	KAK4467326.1, KAK4474298.1
OG0000177	EWB00_010516.1, EWB00_010516.2	KAK4472104.1
OG0000178	EWB00_003718	KAK4472894.1
OG0000179	EWB00_000893	KAK4469016.1
OG0000179	EWB00_009104	KAK4469902.1
OG0000180	EWB00_006752	KAK4468049.1
OG0000180	EWB00_006753.1, EWB00_006753.2	KAK4468060.1
OG0000180	EWB00_006754, EWB00_010162, EWB00_010163	KAK4468069.1
OG0000180	EWB00_006750.1, EWB00_006750.2	KAK4468040.1
