Orthogroup	schistosoma_japonicum	schistosoma_turkestanicum
OG0000097	EWB00_007768	STRK1_15600.5, STRK1_15600.1, STRK1_15600.2, STRK1_15600.4, STRK1_15600.3
OG0000098	EWB00_009825, EWB00_009827.1, EWB00_009827.2	STRK1_64600.1, STRK1_64590.1
OG0000099	EWB00_006234.2	STRK1_66130.1, STRK1_104580.1, STRK1_66160.2
OG0000099	EWB00_002775.1, EWB00_002775.2, EWB00_002775.3	STRK1_69780.1, STRK1_69670.1, STRK1_69680.1
OG0000102	EWB00_010834.2, EWB00_010834.1	STRK1_3550.1, STRK1_3550.2
OG0000102	EWB00_010035.1, EWB00_010035.3, EWB00_010035.2	STRK1_56260.1
OG0000103	EWB00_009133.1, EWB00_009133.2, EWB00_009133.3	STRK1_75520.1, STRK1_75520.2
OG0000104	EWB00_008979.1, EWB00_008979.2	STRK1_3670.1, STRK1_3670.2
OG0000105	EWB00_002088, EWB00_004453	STRK1_13170.1
OG0000106	EWB00_009226, EWB00_003434, EWB00_009640, EWB00_009641, EWB00_009643, EWB00_000001, EWB00_000002, EWB00_000004	STRK1_72780.1, STRK1_72770.1
OG0000107	EWB00_006776, EWB00_002983.1, EWB00_002983.3, EWB00_002983.5, EWB00_002983.6, EWB00_002983.8, EWB00_002983.9, EWB00_002983.10, EWB00_002983.7, EWB00_007831	STRK1_49750.1
OG0000107	EWB00_002983.2, EWB00_002983.4	STRK1_49750.2
OG0000108	EWB00_010849.2, EWB00_010849.4, EWB00_010849.1, EWB00_010849.3, EWB00_010849.5	STRK1_12570.1, STRK1_12570.2
OG0000110	EWB00_006025	STRK1_30120.1
OG0000110	EWB00_006029	STRK1_30150.1
OG0000110	EWB00_006024	STRK1_30110.1
OG0000110	EWB00_006023	STRK1_30100.1, STRK1_30100.2
OG0000111	EWB00_003555.1, EWB00_003555.2	STRK1_46420.1
OG0000112	EWB00_002626.4, EWB00_002626.3, EWB00_002626.2, EWB00_002626.1	STRK1_94100.3, STRK1_94100.4, STRK1_94100.2, STRK1_94100.1
OG0000114	EWB00_000559.1, EWB00_000559.2	STRK1_91030.1, STRK1_91030.2
OG0000115	EWB00_004338.2, EWB00_004338.1, EWB00_004338.4, EWB00_004338.3	STRK1_28410.1
OG0000116	EWB00_005342.1, EWB00_005342.2, EWB00_005342.3, EWB00_005342.4, EWB00_005342.5	STRK1_49070.1, STRK1_49070.5, STRK1_49070.4, STRK1_49070.6, STRK1_49070.3, STRK1_49070.2
OG0000117	EWB00_006015.1, EWB00_006015.2	STRK1_30040.1
OG0000118	EWB00_006159.1, EWB00_006159.2, EWB00_006159.4, EWB00_006159.3, EWB00_006159.5, EWB00_006159.6, EWB00_006159.7, EWB00_006159.8	STRK1_37870.1
