Orthogroup	fasciola_gigantica	schistosoma_turkestanicum
OG0000256	FGIG_03222, FGIG_03223, FGIG_04243, FGIG_04258, FGIG_09730, FGIG_06912, FGIG_09731, FGIG_04262, FGIG_06780, FGIG_10754, FGIG_10268, FGIG_12330, FGIG_10269, FGIG_07792, FGIG_07655, FGIG_07198, FGIG_07790, FGIG_07791, FGIG_08257	STRK1_43030.1, STRK1_43030.3, STRK1_43030.2
OG0000257	FGIG_03641, FGIG_07534	STRK1_26610.1, STRK1_26610.2, STRK1_26610.3, STRK1_26610.4
OG0000259	FGIG_05764	STRK1_26930.1
OG0000260	FGIG_05885	STRK1_20550.1
OG0000261	FGIG_06157	STRK1_68260.4, STRK1_68260.2, STRK1_68260.1, STRK1_68260.3
OG0000262	FGIG_08811, FGIG_08810	STRK1_29090.1, STRK1_29090.2
OG0000263	FGIG_09258	STRK1_58480.1
OG0000264	FGIG_11442	STRK1_82020.1, STRK1_102900.1, STRK1_82030.1
OG0000264	FGIG_10736	STRK1_99780.1
OG0000266	FGIG_00212, FGIG_00213	STRK1_79410.1
OG0000267	FGIG_00498, FGIG_00260	STRK1_78620.1, STRK1_78620.2
OG0000268	FGIG_06620	STRK1_69760.1
OG0000268	FGIG_10234	STRK1_12970.1, STRK1_12950.1
OG0000269	FGIG_02813	STRK1_16300.1
OG0000270	FGIG_03740, FGIG_02883	STRK1_25920.1, STRK1_25920.5, STRK1_25920.6, STRK1_25920.2, STRK1_25920.3, STRK1_25920.4
OG0000271	FGIG_04146, FGIG_09915, FGIG_04147	STRK1_52250.1
OG0000272	FGIG_07493	STRK1_4830.1, STRK1_4830.2, STRK1_4830.4, STRK1_4830.3
OG0000273	FGIG_07763	STRK1_7040.1, STRK1_7050.1
OG0000274	FGIG_10372	STRK1_76560.5, STRK1_76560.3, STRK1_76560.4, STRK1_76560.1, STRK1_76560.2
OG0000275	FGIG_08245	STRK1_33550.1
OG0000276	FGIG_08474	STRK1_71710.1
OG0000277	FGIG_08916	STRK1_89530.1, STRK1_89530.2, STRK1_89530.3
OG0000281	FGIG_00516	STRK1_81070.1
OG0000281	FGIG_04239	STRK1_15090.1
OG0000281	FGIG_10083	STRK1_15770.1
OG0000282	FGIG_11572, FGIG_01087	STRK1_48760.1, STRK1_48760.2
OG0000283	FGIG_01798	STRK1_60510.1, STRK1_60510.2, STRK1_60500.1, STRK1_60950.1, STRK1_60960.1
OG0000284	FGIG_03458	STRK1_37300.1, STRK1_37300.2
OG0000285	FGIG_03702, FGIG_03701	STRK1_31040.1, STRK1_31040.2
OG0000286	FGIG_08247, FGIG_09211, FGIG_06296	STRK1_37690.1, STRK1_37650.3, STRK1_37650.1, STRK1_37650.2
OG0000287	FGIG_07559	STRK1_71740.1, STRK1_71740.2, STRK1_71740.3
OG0000288	FGIG_08415	STRK1_84080.1
OG0000289	FGIG_11097	STRK1_14180.1, STRK1_14180.3, STRK1_14180.2
OG0000290	FGIG_06528	STRK1_25340.1, STRK1_25340.2
OG0000290	FGIG_00121	STRK1_20740.1, STRK1_20740.2
OG0000291	FGIG_00724, FGIG_00726	STRK1_4320.1
OG0000292	FGIG_01340, FGIG_10382	STRK1_27610.3, STRK1_27610.6, STRK1_27610.5, STRK1_27610.1, STRK1_27610.2, STRK1_27610.4
OG0000293	FGIG_03259	STRK1_23670.1
OG0000293	FGIG_10208, FGIG_04594	STRK1_59880.1
OG0000293	FGIG_06127	STRK1_45510.1
OG0000294	FGIG_03314	STRK1_16350.1, STRK1_16350.2
OG0000295	FGIG_04922	STRK1_103260.1, STRK1_83870.1
OG0000296	FGIG_05009	STRK1_8690.2, STRK1_8690.4, STRK1_8690.9, STRK1_8690.10, STRK1_8690.5, STRK1_8690.7, STRK1_8690.6, STRK1_8690.8, STRK1_8700.1, STRK1_8690.1, STRK1_8690.3
OG0000297	FGIG_05203	STRK1_76660.1
OG0000298	FGIG_10124	STRK1_40640.1
OG0000298	FGIG_05892	STRK1_99160.1
OG0000299	FGIG_06707	STRK1_58170.1
OG0000300	FGIG_06727	STRK1_10620.1, STRK1_10620.2, STRK1_10620.3
OG0000301	FGIG_07052	STRK1_74980.1, STRK1_74980.2
OG0000302	FGIG_07305	STRK1_57360.1, STRK1_57360.2, STRK1_57360.3
OG0000303	FGIG_11626, FGIG_07919	STRK1_4940.1, STRK1_4940.2
OG0000304	FGIG_09605	STRK1_8000.1, STRK1_8000.2, STRK1_8000.3
OG0000305	FGIG_09613, FGIG_09611, FGIG_12612	STRK1_46100.1
OG0000306	FGIG_11983, FGIG_10527	STRK1_7470.1
OG0000307	FGIG_12478	STRK1_6030.1, STRK1_105410.1, STRK1_6020.1, STRK1_87110.1, STRK1_80540.1
OG0000311	FGIG_01279	STRK1_3950.1
OG0000312	FGIG_09661, FGIG_01495, FGIG_09662	STRK1_33980.1
OG0000313	FGIG_03443	STRK1_4880.1, STRK1_4880.2
OG0000314	FGIG_03632	STRK1_33380.1
OG0000315	FGIG_03911	STRK1_34570.1, STRK1_34570.2, STRK1_34570.3
OG0000315	FGIG_07353, FGIG_07352	STRK1_62060.1, STRK1_62060.2
OG0000316	FGIG_04659, FGIG_09851	STRK1_2600.4, STRK1_2600.2, STRK1_2600.3, STRK1_2600.1
OG0000317	FGIG_05137	STRK1_850.1
OG0000318	FGIG_05250	STRK1_50180.1, STRK1_50180.2
