Orthogroup	opisthorchis_viverrini	schistosoma_guineensis
OG0000038	T265_12650	SGUI1_23230.1, SGUI1_80970.1, SGUI1_8220.1, SGUI1_88710.1, SGUI1_86740.1, SGUI1_63870.1, SGUI1_21940.1, SGUI1_60360.1, SGUI1_33520.1, SGUI1_22810.1, SGUI1_59630.1, SGUI1_40690.1, SGUI1_40690.2, SGUI1_40690.3, SGUI1_14160.1, SGUI1_14160.2, SGUI1_54730.1, SGUI1_50110.1, SGUI1_3690.1, SGUI1_29980.1, SGUI1_73500.1, SGUI1_49690.1, SGUI1_49690.2, SGUI1_49690.3, SGUI1_49690.4, SGUI1_91460.1, SGUI1_57220.1, SGUI1_51390.1, SGUI1_640.1
OG0000040	T265_01293	SGUI1_52270.1, SGUI1_52260.1
OG0000042	T265_12048, T265_11239, T265_15548, T265_15551	SGUI1_39810.1, SGUI1_39790.1, SGUI1_69850.1, SGUI1_39800.1, SGUI1_69840.1
OG0000043	T265_02563	SGUI1_27450.3, SGUI1_27450.11, SGUI1_27450.14, SGUI1_27450.17, SGUI1_27450.18, SGUI1_27450.4, SGUI1_27450.7, SGUI1_27450.12, SGUI1_27450.15, SGUI1_27450.16, SGUI1_27450.8, SGUI1_27450.10, SGUI1_27450.13, SGUI1_27450.2, SGUI1_27450.6, SGUI1_27450.1, SGUI1_27450.5, SGUI1_27450.9
OG0000044	T265_05071, T265_05072, T265_08625, T265_11935	SGUI1_86170.1, SGUI1_86170.2, SGUI1_86180.1, SGUI1_86180.2, SGUI1_86220.3, SGUI1_86220.1, SGUI1_86220.2, SGUI1_86240.1, SGUI1_86250.1, SGUI1_86250.4, SGUI1_86250.2, SGUI1_86250.3
OG0000047	T265_15705	SGUI1_62750.1, SGUI1_62750.6, SGUI1_21950.7, SGUI1_21950.6, SGUI1_21950.2, SGUI1_21950.3, SGUI1_21950.4, SGUI1_21950.5, SGUI1_21950.1, SGUI1_63020.1, SGUI1_62750.8, SGUI1_62750.7, SGUI1_63020.2, SGUI1_63020.5, SGUI1_63020.3, SGUI1_62750.5, SGUI1_63020.4, SGUI1_62750.3, SGUI1_62750.4, SGUI1_62750.2, SGUI1_62870.2, SGUI1_8690.1, SGUI1_12750.1, SGUI1_50490.2, SGUI1_50490.5, SGUI1_54110.1, SGUI1_62870.1, SGUI1_62870.3, SGUI1_50490.1, SGUI1_50490.4, SGUI1_50490.3
OG0000049	T265_01286	SGUI1_70210.1, SGUI1_70170.7, SGUI1_70170.10, SGUI1_70170.11, SGUI1_70170.12, SGUI1_70170.13, SGUI1_70170.8, SGUI1_70170.9, SGUI1_70170.15, SGUI1_70170.16, SGUI1_70170.14
OG0000049	T265_15552	SGUI1_73830.2, SGUI1_73830.4, SGUI1_73830.3, SGUI1_73830.1
OG0000050	T265_02127, T265_02652	SGUI1_53850.3, SGUI1_53850.9, SGUI1_53850.10, SGUI1_53850.4, SGUI1_53850.5, SGUI1_53850.2, SGUI1_53850.1, SGUI1_53850.8, SGUI1_53850.6, SGUI1_53850.7, SGUI1_53910.1
OG0000052	T265_08730, T265_12065	SGUI1_28340.1
