Orthogroup	opisthorchis_viverrini	schistosoma_intercalatum
OG0000135	T265_07991, T265_11510	SINT1_13520.1, SINT1_13520.2, SINT1_13520.7, SINT1_13520.9, SINT1_13520.10, SINT1_13520.8, SINT1_13520.11, SINT1_13520.12, SINT1_13520.3, SINT1_13520.4, SINT1_13520.5, SINT1_13520.6
OG0000136	T265_11527	SINT1_7430.1, SINT1_7460.1, SINT1_7420.1, SINT1_7420.2
OG0000138	T265_11205	SINT1_86150.1
OG0000138	T265_13897	SINT1_45050.1, SINT1_45050.2
OG0000139	T265_03450	SINT1_3860.1, SINT1_3860.4, SINT1_3860.8, SINT1_3860.10, SINT1_3860.2, SINT1_3860.6, SINT1_3860.7, SINT1_3860.5, SINT1_3860.9, SINT1_3860.3
OG0000140	T265_06793, T265_05820	SINT1_74990.1
OG0000142	T265_03704, T265_07291, T265_15439	SINT1_20300.1, SINT1_20310.1, SINT1_20320.1, SINT1_20340.1, SINT1_20330.1
OG0000143	T265_04146, T265_13432	SINT1_67570.1, SINT1_96680.1, SINT1_67580.1
OG0000144	T265_01304	SINT1_54570.1, SINT1_54570.2, SINT1_54570.3
OG0000144	T265_12086	SINT1_27700.1
OG0000144	T265_06668, T265_13782	SINT1_56820.1
OG0000145	T265_14746	SINT1_33280.1, SINT1_33280.2
OG0000146	T265_07748	SINT1_89890.1
OG0000146	T265_07423, T265_07424	SINT1_56400.1
OG0000146	T265_08388	SINT1_29210.3, SINT1_29210.2, SINT1_29210.1
OG0000146	T265_03861	SINT1_47190.1
OG0000149	T265_03520	SINT1_53730.4, SINT1_53730.1, SINT1_53730.2, SINT1_53730.5, SINT1_53730.6, SINT1_53730.7, SINT1_53730.3
OG0000151	T265_06094	SINT1_63190.1
OG0000152	T265_06135	SINT1_11220.1, SINT1_11220.3, SINT1_11220.5, SINT1_11220.6, SINT1_11220.4, SINT1_11360.1, SINT1_11220.2, SINT1_11220.7
OG0000153	T265_16031, T265_12191, T265_02887, T265_13113	SINT1_50010.1, SINT1_50670.1, SINT1_50690.1, SINT1_50680.1, SINT1_50620.1, SINT1_50620.2
OG0000154	T265_03183	SINT1_18590.7, SINT1_18590.5, SINT1_18590.1, SINT1_18590.4, SINT1_18590.6, SINT1_18590.2, SINT1_18590.3, SINT1_18590.8, SINT1_18590.10, SINT1_18590.9
OG0000155	T265_08299	SINT1_36950.1
OG0000156	T265_00887, T265_16074	SINT1_20080.1
OG0000156	T265_03696, T265_15374	SINT1_20070.2, SINT1_20070.1, SINT1_20070.3, SINT1_20070.4
OG0000157	T265_06998, T265_11481	SINT1_61450.1
OG0000157	T265_01460, T265_12799	SINT1_43950.1
OG0000157	T265_09530, T265_09531, T265_14875	SINT1_92800.1, SINT1_92800.2
