Orthogroup	schistosoma_intercalatum	fasciola_gigantica
OG0000146	SINT1_29210.3, SINT1_29210.2, SINT1_29210.1	FGIG_08174
OG0000146	SINT1_47190.1	FGIG_12116
OG0000147	SINT1_36090.1, SINT1_36090.10, SINT1_36090.11, SINT1_36090.2, SINT1_36090.3, SINT1_36090.4, SINT1_36090.5, SINT1_36090.7, SINT1_36090.8, SINT1_36090.9, SINT1_36090.6	FGIG_03610
OG0000148	SINT1_31360.3, SINT1_31360.4, SINT1_31360.7, SINT1_31360.8, SINT1_31360.1, SINT1_31360.2, SINT1_31360.5, SINT1_31360.9, SINT1_31360.6	FGIG_05123, FGIG_04713
OG0000149	SINT1_53730.4, SINT1_53730.1, SINT1_53730.2, SINT1_53730.5, SINT1_53730.6, SINT1_53730.7, SINT1_53730.3	FGIG_08710
OG0000151	SINT1_63190.1	FGIG_00898
OG0000152	SINT1_11220.1, SINT1_11220.3, SINT1_11220.5, SINT1_11220.6, SINT1_11220.4, SINT1_11360.1, SINT1_11220.2, SINT1_11220.7	FGIG_02196
OG0000153	SINT1_50010.1, SINT1_50670.1, SINT1_50690.1, SINT1_50680.1, SINT1_50620.1, SINT1_50620.2	FGIG_06246, FGIG_09804, FGIG_09803
OG0000154	SINT1_18590.7, SINT1_18590.5, SINT1_18590.1, SINT1_18590.4, SINT1_18590.6, SINT1_18590.2, SINT1_18590.3, SINT1_18590.8, SINT1_18590.10, SINT1_18590.9	FGIG_12314, FGIG_02765, FGIG_12625, FGIG_00749
OG0000155	SINT1_36950.1	FGIG_01109
OG0000156	SINT1_20080.1	FGIG_01694
OG0000156	SINT1_20070.2, SINT1_20070.1, SINT1_20070.3, SINT1_20070.4	FGIG_10389, FGIG_01395, FGIG_06374
OG0000157	SINT1_61450.1	FGIG_01729
OG0000157	SINT1_43950.1	FGIG_07044, FGIG_07045
OG0000157	SINT1_92800.1, SINT1_92800.2	FGIG_03579
OG0000158	SINT1_5490.4, SINT1_5490.1, SINT1_5490.2, SINT1_5490.3, SINT1_5490.10, SINT1_5490.11, SINT1_5490.12, SINT1_5490.13, SINT1_5490.14, SINT1_5490.6, SINT1_5490.9, SINT1_5490.5, SINT1_5490.7, SINT1_5490.8, SINT1_5500.1	FGIG_05975
OG0000159	SINT1_61920.4, SINT1_61920.7, SINT1_61920.5, SINT1_61920.1, SINT1_61920.3, SINT1_61920.8, SINT1_61920.9, SINT1_61920.2, SINT1_61920.6	FGIG_07564
OG0000160	SINT1_14680.1	FGIG_05715
