Orthogroup	schistosoma_spindale	fasciola_gigantica
OG0000164	SSPN1_62920.1, SSPN1_62920.2, SSPN1_62920.3	FGIG_12608, FGIG_03854
OG0000164	SSPN1_74370.1	FGIG_01740
OG0000164	SSPN1_53630.1	FGIG_10598
OG0000164	SSPN1_29260.1	FGIG_05689
OG0000165	SSPN1_59070.1	FGIG_03682
OG0000166	SSPN1_84550.2, SSPN1_84550.1, SSPN1_84550.3	FGIG_04350
OG0000167	SSPN1_72110.3, SSPN1_72110.4, SSPN1_72110.5, SSPN1_72110.2, SSPN1_72110.1	FGIG_09630
OG0000169	SSPN1_90630.1	FGIG_02219, FGIG_02221, FGIG_02220
OG0000170	SSPN1_67940.1	FGIG_11214, FGIG_11905, FGIG_00734
OG0000172	SSPN1_11660.6, SSPN1_11660.5, SSPN1_11660.4, SSPN1_11660.1, SSPN1_11660.7, SSPN1_11660.2, SSPN1_11660.3	FGIG_02787, FGIG_02788
OG0000173	SSPN1_79450.4, SSPN1_79450.1, SSPN1_79450.2, SSPN1_79450.3	FGIG_11984, FGIG_11985, FGIG_11027, FGIG_11986, FGIG_11026
OG0000175	SSPN1_39990.1, SSPN1_39980.1, SSPN1_39970.1, SSPN1_39960.1	FGIG_00359, FGIG_00358, FGIG_00357, FGIG_00355, FGIG_00354, FGIG_00352
OG0000176	SSPN1_28280.1, SSPN1_87350.1	FGIG_00685
OG0000177	SSPN1_56760.1, SSPN1_56760.2, SSPN1_56760.3, SSPN1_56760.4, SSPN1_56760.5, SSPN1_56760.6	FGIG_04057, FGIG_04058
OG0000178	SSPN1_25140.1, SSPN1_25140.2	FGIG_04370
OG0000179	SSPN1_53970.1, SSPN1_53970.2, SSPN1_53970.3, SSPN1_53970.4, SSPN1_53980.1	FGIG_08795, FGIG_10380
OG0000180	SSPN1_78230.1, SSPN1_78220.1, SSPN1_78210.1, SSPN1_78200.1, SSPN1_78240.1, SSPN1_78240.2	FGIG_12039
OG0000182	SSPN1_55870.5, SSPN1_55870.6, SSPN1_55870.4, SSPN1_55870.1, SSPN1_55870.2, SSPN1_55870.3	FGIG_02134
OG0000182	SSPN1_27800.11, SSPN1_27800.7, SSPN1_27800.8, SSPN1_27800.9, SSPN1_27800.4, SSPN1_27800.5, SSPN1_27800.2, SSPN1_27800.1, SSPN1_27800.10, SSPN1_27800.3, SSPN1_27800.6	FGIG_00290
OG0000183	SSPN1_38240.1	FGIG_02622
OG0000184	SSPN1_48240.1, SSPN1_48240.2, SSPN1_48240.3, SSPN1_48240.4	FGIG_03731
